Sample,Number,Mouse_ID,Strain,sex,DOB,parents,Western_Diet,Sac_Date,weight_g,length_cm,ab_fat,other_fat,total_fat,comments,100xfat_weight,Trigly,Total_Chol,HDL_Chol,UC,FFA,Glucose,LDL_plus_VLDL,MCP_1_phys,Insulin_ug_l,Glucose_Insulin,Leptin_pg_ml,Adiponectin,Aortic lesions,Note,Aneurysm,Aortic_cal_M,Aortic_cal_L,CoronaryArtery_Cal,Myocardial_cal,BMD_all_limbs,BMD_femurs_only
F2_50,50,160-2,"BxH ApoE-/-, F2",1,2001-11-13,110,2002-1-8,2002-4-30,34.5,10,0.59,1.18,1.77,NA,5.130434783,122,1577,37,688,185,741,1540,97.67,710,1.043661972,19560,7.858,348500,NA,27,6,0,0,1,NA,NA
F2_51,51,173-1,"BxH ApoE-/-, F2",2,2001-12-4,109,2002-2-1,2002-5-17,37.9,10.5,1.87,3.56,5.43,NA,14.32717678,101,1216,27,503,121,511,1189,100.8,819,0.623931624,78360,14.014,373250,NA,34,2,5,0,1,NA,NA
F2_52,52,173-2,"BxH ApoE-/-, F2",2,2001-12-4,109,2002-2-1,2002-5-17,38.5,10.8,1.78,3.09,4.87,NA,12.64935065,132,1888,33,646,119,635,1855,112.776,2692,0.235884101,37040,10.14,249000,NA,0,0,0,0,0,NA,NA
F2_53,53,173-3,"BxH ApoE-/-, F2",2,2001-12-4,109,2002-2-1,2002-5-17,36.4,10.5,1.83,3.56,5.39,NA,14.80769231,160,1539,30,656,174,681,1509,105.966,1298,0.524653313,52980,8.12,180750,NA,25,2,5,0,0,NA,NA
F2_54,54,173-4,"BxH ApoE-/-, F2",2,2001-12-4,109,2002-2-1,2002-5-17,46.4,10.5,2.84,5.9,8.74,NA,18.8362069,115,1296,31,484,127,488,1265,238.292,3544,0.137697517,162820,9.115,90500,NA,24,6,0,0,0,NA,NA
F2_55,55,174-1,"BxH ApoE-/-, F2",1,2001-12-4,109,2002-2-1,2002-5-17,54.3,11.3,0.33,2.25,2.58,black,4.751381215,131,2106,36,805,176,562,2070,237.592,21101,0.026633809,56840,4.521,233000,NA,23,2,0,0,1,NA,NA
F2_56,56,174-2,"BxH ApoE-/-, F2",1,2001-12-4,109,2002-2-1,2002-5-17,52,11.1,0.19,2.1,2.29,NA,4.403846154,170,1387,45,585,169,610,1342,247.492,15027,0.040593598,55920,2.958,30750,NA,10,0,10,0,0,NA,NA
F2_57,57,174-3,"BxH ApoE-/-, F2",1,2001-12-4,109,2002-2-1,2002-5-17,49,10.8,0.9,2.15,3.05,black,6.224489796,192,1452,70,550,141,531,1382,411.224,15163,0.035019455,59260,4.05,9000,NA,8,2,0,0,1,NA,NA
F2_58,58,175-1,"BxH ApoE-/-, F2",1,2001-12-7,112,2002-2-1,2002-5-17,44.1,11,1.6,2.57,4.17,black,9.455782313,275,938,49,302,93,371,889,96.908,1060,0.35,29140,6.514,33000,NA,0,0,0,0,0,NA,NA
F2_59,59,175-2,"BxH ApoE-/-, F2",1,2001-12-7,112,2002-2-1,2002-5-17,45.1,10.9,0.43,1.68,2.11,black,4.678492239,201,1338,31,529,134,551,1307,175.888,29699,0.018552813,47220,4.054,43000,NA,0,0,0,0,3,NA,NA
F2_84,84,200-1,"BxH ApoE-/-, F2",1,2001-12-28,110,2002-2-26,2002-6-19,47.2,10.7,1.28,2.29,3.57,NA,7.563559322,181,1749,53,548,108,346,1696,297.128,13153,0.026305786,61280,0.803,145250,NA,143,30,0,NA,NA,NA,NA
F2_85,85,200-2,"BxH ApoE-/-, F2",1,2001-12-28,110,2002-2-26,2002-6-19,39.3,10.5,1.16,1.58,2.74,NA,6.972010178,120,1403,49,517,158,571,1354,113.128,11893,0.048011435,NA,NA,50250,NA,0,0,0,NA,NA,NA,NA
F2_86,86,201-1,"BxH ApoE-/-, F2",2,2002-1-1,112,2002-2-26,2002-6-19,34.8,10,2.01,1.9,3.91,NA,11.23563218,88,998,60,331,88,334,938,125.6,2457,0.135938136,35500,3.765,186750,NA,0,0,4,NA,NA,NA,NA
F2_87,87,201-2,"BxH ApoE-/-, F2",2,2002-1-1,112,2002-2-26,2002-6-19,32.5,10.5,1.51,1.57,3.08,NA,9.476923077,36,753,53,232,68,265,700,92.962,766,0.345953003,16140,2.914,167250,NA,0,0,1,NA,NA,NA,NA
F2_88,88,201-3,"BxH ApoE-/-, F2",2,2002-1-1,112,2002-2-26,2002-6-19,46,10.8,4.11,2.87,6.98,NA,15.17391304,55,1016,46,368,99,400,970,143.192,2852,0.140252454,87360,5.302,247250,NA,12,7,0,NA,NA,NA,NA
F2_89,89,201-4,"BxH ApoE-/-, F2",2,2002-1-1,112,2002-2-26,2002-6-19,28.3,9.5,1.09,1.06,2.15,slight malocclusion,7.597173145,56,1162,26,468,137,410,1136,83.746,NA,NA,17720,8.644,299500,NA,69,10,0,NA,NA,NA,NA
F2_91,91,202-1,"BxH ApoE-/-, F2",1,2002-1-1,112,2002-2-26,2002-6-19,43.9,10.5,1.08,1.73,2.81,NA,6.400911162,89,1180,62,445,128,403,1118,121.474,NA,NA,51460,1.237,244750,NA,0,0,1,NA,NA,NA,NA
F2_92,92,202-2,"BxH ApoE-/-, F2",1,2002-1-1,112,2002-2-26,2002-6-19,54,11.5,1.26,2.56,3.82,NA,7.074074074,118,1465,39,510,100,373,1426,132.748,7858,0.047467549,32560,4.449,165750,NA,0,0,0,NA,NA,NA,NA
F2_93,93,203-1,"BxH ApoE-/-, F2",1,2002-1-1,112,2002-2-26,2002-6-19,43.6,10,1.86,1.47,3.33,NA,7.637614679,24,973,52,340,86,360,921,210.426,1845,0.195121951,NA,NA,196500,NA,0,0,0,NA,NA,NA,NA
F2_94,94,203-2,"BxH ApoE-/-, F2",1,2002-1-1,112,2002-2-26,2002-6-19,46.1,11,1.16,2.33,3.49,NA,7.570498915,106,1419,65,534,172,509,1354,95.868,8840,0.057579186,59800,NA,409000,NA,56,35,0,NA,NA,NA,NA
F2_95,95,203-3,"BxH ApoE-/-, F2",1,2002-1-1,112,2002-2-26,2002-6-19,40.1,10.5,1.7,1.67,3.37,NA,8.403990025,34,1325,77,407,86,339,1248,69.018,821,0.412911084,23500,7.087,61750,NA,0,0,3,0,0,NA,NA
F1_96,96,204-1,"BxH ApoE-/-, F1",1,2002-1-2,163162,2002-2-26,2002-6-19,51.1,11.5,1.29,2.33,3.62,NA,7.084148728,37,1166,61,400,111,391,1105,125.742,674,0.580118694,36860,7.268,116250,NA,23,6,0,0,0,NA,NA
F1_97,97,204-2,"BxH ApoE-/-, F1",1,2002-1-2,163162,2002-2-26,2002-6-19,52.8,11,1.34,2.35,3.69,NA,6.988636364,33,1422,55,502,129,465,1367,157.182,1029,0.451895044,48220,11.005,76250,NA,9,5,0,0,0,NA,NA
F1_98,98,204-3,"BxH ApoE-/-, F1",1,2002-1-2,163162,2002-2-26,2002-6-19,48.1,10.5,1.68,1.93,3.61,NA,7.505197505,25,1202,43,424,101,411,1159,97.186,287,1.432055749,NA,NA,110750,NA,20,0,0,0,0,NA,NA
F1_99,99,204-4,"BxH ApoE-/-, F1",1,2002-1-2,163162,2002-2-26,2002-6-19,50.1,11,1.36,2.33,3.69,NA,7.365269461,61,940,60,318,87,322,880,165.538,532,0.605263158,33560,8.113,127500,NA,12,5,0,0,0,NA,NA
F1_100,100,205-1,"BxH ApoE-/-, F1",2,2002-1-2,162,2002-2-26,2002-6-19,38.3,10.5,2.83,2.01,4.84,NA,12.63707572,57,1131,33,390,91,357,1098,120.444,870,0.410344828,79180,12.201,192250,NA,0,0,0,0,0,NA,NA
F1_101,101,205-2,"BxH ApoE-/-, F1",2,2002-1-2,162,2002-2-26,2002-6-19,40,11,2.74,1.95,4.69,NA,11.725,41,1442,28,506,105,413,1414,NA,NA,NA,NA,NA,212250,NA,9,2,0,0,0,NA,NA
F1_102,102,205-3,"BxH ApoE-/-, F1",2,2002-1-2,162,2002-2-26,2002-6-19,42.8,10.3,4.5,3.37,7.87,NA,18.38785047,72,1285,35,469,116,463,1250,126.652,NA,NA,NA,NA,160250,NA,0,0,0,0,0,NA,NA
F1_103,103,205-4,"BxH ApoE-/-, F1",2,2002-1-2,162,2002-2-26,2002-6-19,45.2,10.5,4.01,2.74,6.75,NA,14.93362832,46,1218,31,422,105,413,1187,111.616,558,0.740143369,131420,17.084,206500,NA,27,9,0,0,0,NA,NA
F2_104,104,217-1,"BxH ApoE-/-, F2",1,2002-12-30,111,2002-3-12,2002-7-31,57.1,10.8,0.9,2.52,3.42,NA,5.989492119,170,1013,60,333,91,310,953,210.122,1926,0.160955348,70360,7.307,106250,NA,0,0,0,0,0,0.0593,0.08175
F2_105,105,217-2,"BxH ApoE-/-, F2",1,2002-12-30,111,2002-3-12,2002-7-31,40.9,10.6,1.84,1.51,3.35,NA,8.190709046,128,2079,175,697,138,537,1904,145.944,556,0.965827338,23640,7.557,133750,NA,34,13,0,15,15,0.0589,0.08215
F2_107,107,219-1,"BxH ApoE-/-, F2",2,2002-1-14,166,2002-3-12,2002-7-31,43.6,10.3,3.47,2.58,6.05,NA,13.87614679,76,1306,37,380,82,308,1269,110.384,627,0.49122807,59040,9.962,171625,NA,32,4,2,0,0,0.0605,0.08685
F2_108,108,219-2,"BxH ApoE-/-, F2",2,2002-1-14,166,2002-3-12,2002-7-31,40.6,10.7,3.96,2.45,6.41,NA,15.78817734,25,850,21,289,64,337,829,184.16,517,0.651837524,85320,17.756,329000,NA,0,0,0,0,0,0.0518,0.06755
F2_109,109,219-3,"BxH ApoE-/-, F2",2,2002-1-14,166,2002-3-12,2002-7-31,43.6,10.3,2.96,3.19,6.15,NA,14.10550459,50,812,62,263,67,290,750,89.994,954,0.303983229,85400,8.795,151750,NA,0,0,7,0,0,0.0587,0.08275
F2_110,110,219-4,"BxH ApoE-/-, F2",2,2002-1-14,166,2002-3-12,2002-7-31,37.1,10.3,2.57,2.07,4.64,aorta switched w/111,12.50673854,96,1617,46,558,102,435,1571,113.762,414,1.050724638,54560,15.256,385500,NA,40,14,0,0,0,0.0526,0.07265
F2_111,111,254-1,"BxH ApoE-/-, F2",2,2002-1-22,111,2002-3-29,2002-7-31,33.8,10,1.28,1.53,2.81,NA,8.313609467,36,1392,38,491,87,364,1354,102.542,1027,0.35443038,44512.9,9.229,279250,NA,38,8,0,2,0,0.0583,0.07975
F2_112,112,254-2,"BxH ApoE-/-, F2",2,2002-1-22,111,2002-3-29,2002-7-31,26.8,10.5,0.41,0.58,0.99,oversized spleen,3.694029851,709,1296,24,420,79,361,1272,222.52,610,0.591803279,6317.96,8.564,18000,NA,0,0,0,NA,NA,0.06,0.0832
F2_113,113,255-1,"BxH ApoE-/-, F2",1,2002-1-22,111,2002-3-29,2002-7-31,44.4,10.3,1.56,2.55,4.11,NA,9.256756757,110,1002,58,373,87,369,944,110.244,2705,0.136414048,85185.28,7.127,253250,NA,37,3,0,0,0,0.0596,0.0808
F2_114,114,255-2,"BxH ApoE-/-, F2",1,2002-1-22,111,2002-3-29,2002-7-31,43.9,10.8,0.94,1.65,2.59,NA,5.89977221,261,1352,81,436,107,404,1271,125.386,1781,0.226838855,42173.54,7.179,155500,NA,0,0,5,0,0,0.0615,0.0904
F2_115,115,255-3,"BxH ApoE-/-, F2",1,2002-1-22,111,2002-3-29,2002-7-31,57.8,11,1.76,4.06,5.82,NA,10.06920415,201,1741,68,539,106,410,1673,238.058,2205,0.185941043,85167.3,5.668,132250,NA,103,2,0,0,0,0.0587,0.0827
F2_116,116,255-4,"BxH ApoE-/-, F2",1,2002-1-22,111,2002-3-29,2002-7-31,54.7,11.2,2.82,3.59,6.41,NA,11.71846435,77,1404,66,444,90,395,1338,111.438,1533,0.25766471,98649.6,8.45,241750,NA,52,6,6,0,19,0.0579,0.07445
F2_117,117,245-1,"BxH ApoE-/-, F2",2,2002-2-9,110,2002-4-16,2002-8-6,38,10.2,NA,2.55,NA,NA,NA,64,1236,38,471,127,409,1198,169.444,468,0.873931624,79249.46,15.794,475000,NA,63,4,0,0,0,0.0545,0.0765
F2_118,118,245-2,"BxH ApoE-/-, F2",2,2002-2-9,110,2002-4-16,2002-8-6,44.7,10.5,4.18,3.83,8.01,NA,17.91946309,97,1228,33,463,107,444,1195,176.78,847,0.52420307,140137.56,9.126,186500,NA,20,1,5,0,0,0.0595,0.08625
F2_119,119,245-3,"BxH ApoE-/-, F2",2,2002-2-9,110,2002-4-16,2002-8-6,40.3,10.2,2.85,3.35,6.2,NA,15.38461538,96,1113,38,387,87,406,1075,93.722,583,0.696397942,54318.48,9.438,485500,NA,18,2,15,0,0,0.054,0.07345
F2_120,120,246-1,"BxH ApoE-/-, F2",1,2002-2-11,111,2002-4-16,2002-8-6,50.8,11,2.38,2.33,4.71,tough skin,9.271653543,113,1337,51,478,120,403,1286,170.774,3132,0.128671775,64560.68,6.619,283250,NA,3,0,0,0,3,0.0592,0.08775
F2_121,121,246-2,"BxH ApoE-/-, F2",1,2002-2-11,111,2002-4-16,2002-8-6,46.5,10.2,1.7,3.33,5.03,NA,10.8172043,75,1392,35,563,130,539,1357,159.066,2857,0.188659433,136762.22,9.364,88250,NA,12,2,0,0,42,0.0542,0.07325
F2_122,122,246-3,"BxH ApoE-/-, F2",1,2002-2-11,111,2002-4-16,2002-8-6,51.6,11,1.23,2.6,3.83,spleenomegally,7.42248062,85,929,68,376,110,405,861,250.782,3368,0.120249406,70998.48,5.297,131250,NA,0,0,3,0,0,0.06,0.08535
F2_123,123,246-4,"BxH ApoE-/-, F2",1,2002-2-11,111,2002-4-16,2002-8-6,41.9,9.9,2.14,2.69,4.83,NA,11.5274463,71,962,24,412,115,384,938,328.82,1167,0.329048843,93467.48,7.019,437750,NA,52,15,11,0,0,0.0533,0.07225
F2_124,124,246-5,"BxH ApoE-/-, F2",1,2002-2-11,111,2002-4-16,2002-8-6,52.1,10.1,3.14,3.07,6.21,NA,11.9193858,100,1403,46,512,119,450,1357,151.322,972,0.462962963,127313.14,9.82,303750,NA,102,7,0,0,0,0.0589,0.08085
F2_125,125,248-1,"BxH ApoE-/-, F2",2,2002-2-11,111,2002-4-16,2002-8-6,44.1,10.4,3.5,2.67,6.17,large spleen,13.99092971,157,1656,33,580,126,590,1623,154.896,1233,0.478507705,104954.62,8.893,217500,NA,60,2,0,0,0,0.0591,0.086
F2_126,126,248-2,"BxH ApoE-/-, F2",2,2002-2-11,111,2002-4-16,2002-8-6,43.1,10.4,3.47,3.92,7.39,NA,17.14617169,124,1263,37,484,126,440,1226,149.144,NA,NA,NA,NA,137750,NA,34,7,0,0,0,0.0575,0.0822
F2_127,127,248-3,"BxH ApoE-/-, F2",2,2002-2-11,111,2002-4-16,2002-8-6,33.4,9.9,1.98,2.17,4.15,NA,12.4251497,84,1609,28,644,139,498,1581,173.292,457,1.089715536,111464.32,11.32,201750,NA,13,0,7,0,0,0.0523,0.07635
F2_128,128,248-4,"BxH ApoE-/-, F2",2,2002-2-11,111,2002-4-16,2002-8-6,35.6,9.6,2.1,3.75,5.85,NA,16.43258427,65,1230,45,442,94,357,1185,206.924,314,1.136942675,69600.92,NA,319500,NA,0,0,NA,0,0,0.0511,0.07295
B6_129,129,249-1,B6 ApoE-/-,2,2002-2-11,167,2002-4-16,2002-8-6,25.6,8.7,0.7,0.76,1.46,NA,5.703125,10,982,22,444,101,360,960,110.396,NA,NA,NA,NA,420750,NA,NA,0,10,0,0,0.0505,0.0679
B6_130,130,249-2,B6 ApoE-/-,2,2002-2-11,167,2002-4-16,2002-8-6,26.8,9.6,0.25,0.43,0.68,distended intestine,2.537313433,3,1040,20,464,98,332,1020,225.17,NA,NA,NA,NA,583500,NA,NA,0,14,0,0,0.0502,0.0655
B6_131,131,249-3,B6 ApoE-/-,2,2002-2-11,167,2002-4-16,2002-8-6,35.8,9.6,2,2.23,4.23,NA,11.81564246,15,1084,25,443,84,404,1059,144.926,444,0.90990991,90460.16,17.184,512500,NA,NA,0,0,0,0,0.0514,0.067
B6_132,132,249-4,B6 ApoE-/-,2,2002-2-11,167,2002-4-16,2002-8-6,34.5,9.9,1.3,1.85,3.15,NA,9.130434783,21,1094,27,470,90,390,1067,163.846,NA,NA,NA,NA,528000,NA,NA,0,0,0,0,0.0521,0.0684
B6_133,133,249-5,B6 ApoE-/-,2,2002-2-11,167,2002-4-16,2002-8-6,24,9.5,0.3,0.7,1,NA,4.166666667,13,995,17,444,88,333,978,NA,NA,NA,NA,NA,530500,NA,NA,0,7,0,0,0.0507,0.0671
B6_134,134,250-1,B6 ApoE-/-,1,2002-2-11,167,2002-4-16,2002-8-6,41.6,10,1.49,2.13,3.62,NA,8.701923077,36,1152,30,492,119,447,1122,103.286,NA,NA,NA,NA,423750,NA,NA,0,4,0,0,0.0542,0.07465
B6_135,135,250-2,B6 ApoE-/-,1,2002-2-11,167,2002-4-16,2002-8-6,42.8,10.2,1.84,2.04,3.88,NA,9.065420561,59,1350,28,566,137,495,1322,59.514,NA,NA,NA,NA,256500,NA,NA,0,0,0,0,0.0555,0.07755
B6_136,136,250-3,B6 ApoE-/-,1,2002-2-11,167,2002-4-16,2002-8-6,31,10,0.68,0.65,1.33,NA,4.290322581,3,818,23,373,83,293,795,34.988,NA,NA,NA,NA,321250,NA,NA,0,3,0,0,0.0505,0.0741
C3H_137,137,256-1,C3H ApoE-/-,1,2002-2-25,NA,2002-4-22,2002-8-14,41.3,10.4,0.93,1.69,2.62,NA,6.343825666,521,1310,57,554,203,513,1253,NA,NA,NA,NA,NA,75800,NA,15,8,0,0,59,0.0545,0.08475
C3H_138,138,256-2,C3H ApoE-/-,1,2002-2-25,NA,2002-4-22,2002-8-14,41.6,10.6,1.13,1.82,2.95,NA,7.091346154,224,974,47,378,110,378,927,131.4,NA,NA,NA,NA,46100,NA,16,8,0,1,67,0.062,0.09255
C3H_139,139,256-3,C3H ApoE-/-,1,2002-2-25,NA,2002-4-22,2002-8-14,47.9,10.7,0.44,2.09,2.53,NA,5.281837161,633,1374,69,581,211,651,1305,86.166,NA,NA,NA,NA,63,NA,0,0,0,0,399,0.0592,0.0902
C3H_140,140,256-4,C3H ApoE-/-,1,2002-2-25,NA,2002-4-22,2002-8-14,40.7,10.6,1.15,1.27,2.42,NA,5.945945946,692,1355,59,574,201,513,1296,69.542,NA,NA,NA,NA,42500,NA,4,6,0,0,48,0.0588,0.08335
F2_141,141,258-1,"BxH ApoE-/-, F2",2,2002-2-25,230,2002-4-22,2002-8-14,36,10.2,2.31,1.41,3.72,NA,10.33333333,60,1023,36,397,99,354,987,109.12,675,0.524444444,57056.54,11.901,298000,NA,24,3,0,0,3,0.055,0.0744
F2_142,142,258-2,"BxH ApoE-/-, F2",2,2002-2-25,230,2002-4-22,2002-8-14,24.5,9.9,0.4,0.25,0.65,NA,2.653061224,38,942,27,405,95,324,915,132.174,728,0.445054945,9874.4,13.683,211500,NA,0,0,0,0,0,0.0537,0.07405
F2_143,143,258-3,"BxH ApoE-/-, F2",2,2002-2-25,230,2002-4-22,2002-8-14,43.1,10.5,3.23,1.55,4.78,NA,11.09048724,63,1148,39,515,125,494,1109,161.194,5353,0.0922847,264299.2,12.369,291000,NA,0,0,1,0,0,0.0534,0.0684
F2_144,144,258-4,"BxH ApoE-/-, F2",2,2002-2-25,230,2002-4-22,2002-8-14,NA,NA,1.52,0.98,2.5,NA,NA,29,1065,38,431,83,382,1027,130.456,409,0.93398533,23376.76,16.333,212750,NA,0,0,0,0,2,0.0578,0.0791
F2_145,145,258-5,"BxH ApoE-/-, F2",2,2002-2-25,230,2002-4-22,2002-8-14,NA,NA,1.98,1.89,3.87,NA,NA,36,1105,27,453,113,388,1078,112.564,569,0.681898067,121757.76,14.544,375750,NA,27,3,0,0,0,0.0519,0.06535
F2_225,225,287-1,"BxH ApoE-/-, F2",2,2002-3-19,230,2002-5-14,2002-9-4,34.1,9.8,1.74,2.31,4.05,NA,11.87683284,50,800,36,305,82,229,764,111.658,310,0.738709677,80283.54,17.734,417750,NA,0,0,0,0,1,NA,NA
F2_226,226,287-2,"BxH ApoE-/-, F2",2,2002-3-19,230,2002-5-14,2002-9-4,29,9.9,1.49,1.61,3.1,NA,10.68965517,53,1054,36,346,81,272,1018,101.148,397,0.685138539,23200.04,3.479,168250,NA,122,25,0,2,7,0.0525,0.07375
F2_227,227,287-3,"BxH ApoE-/-, F2",2,2002-3-19,230,2002-5-14,2002-9-4,36,10.3,2.2,2.15,4.35,NA,12.08333333,72,1500,25,517,104,419,1475,83.962,807,0.519206939,38309.1,4.064,149500,NA,23,2,0,0,0,0.0552,0.07505
F2_228,228,287-4,"BxH ApoE-/-, F2",2,2002-3-19,230,2002-5-14,2002-9-4,42.8,9.9,3.6,3.21,6.81,aorta switched w/229,15.91121495,240,1635,42,590,159,576,1593,175.25,2797,0.20593493,206529.2,7.306,65250,NA,17,0,0,0,4,NA,NA
F2_229,229,288-1,"BxH ApoE-/-, F2",1,2002-3-19,230,2002-5-14,2002-9-4,53.4,10.5,1.49,2.8,4.29,NA,8.033707865,237,1079,46,435,117,438,1033,177.942,4130,0.106053269,128495.32,2.743,98250,NA,14,6,0,1,135,0.0576,0.08095
F2_230,230,288-2,"BxH ApoE-/-, F2",1,2002-3-19,230,2002-5-14,2002-9-4,45.3,10.5,1.75,2.07,3.82,NA,8.432671082,114,1284,84,438,105,426,1200,85.832,2934,0.145194274,75809.5,2.872,80000,NA,25,7,0,0,5,0.0632,0.08955
F2_175,175,268-3,"BxH ApoE-/-, F2",1,2002-2-28,232,2002-4-22,2002-8-19,48.9,10.9,2.18,3.43,5.61,NA,11.47239264,95,873,56,259,57,358,817,329.102,3460,0.103468208,132790.84,5.204,128000,NA,0,0,0,0,0,0.0566,0.0797
F2_176,176,269-1,"BxH ApoE-/-, F2",1,2002-2-28,235,2002-4-22,2002-8-19,49.1,10.4,1.61,3.61,5.22,NA,10.63136456,87,1276,47,525,146,521,1229,199.896,7495,0.069513009,109383.44,6.324,260250,NA,25,10,0,0,0,0.0565,0.0758
F2_177,177,269-2,"BxH ApoE-/-, F2",1,2002-2-28,235,2002-4-22,2002-8-19,55.5,10.6,1.2,3.65,4.85,NA,8.738738739,90,1139,78,324,65,373,1061,138.098,2438,0.152994258,60136.48,3.539,69250,NA,18,9,0,0,6,0.0557,0.0757
F2_178,178,269-3,"BxH ApoE-/-, F2",1,2002-2-28,235,2002-4-22,2002-8-19,55.7,10.6,1.35,2.79,4.14,NA,7.432675045,107,860,95,254,60,397,765,116.748,5614,0.070716067,63083.62,3.668,237750,NA,9,0,10,0,1,0.0593,0.0802
F2_179,179,269-4,"BxH ApoE-/-, F2",1,2002-2-28,235,2002-4-22,2002-8-19,48.6,10.3,1.33,2.28,3.61,large spleen,7.427983539,103,817,78,259,62,348,739,172.376,6120,0.056862745,67388.16,4.39,124000,NA,0,0,0,0,2,0.0567,0.0783
F2_180,180,270-1,"BxH ApoE-/-, F2",2,2002-2-28,235,2002-4-22,2002-8-19,41.8,10.2,2.63,2.79,5.42,NA,12.96650718,85,1078,46,384,93,413,1032,93.966,1294,0.319165379,121768.04,10.074,210250,NA,0,0,0,0,0,0.0593,0.08635
F2_346,346,360-1,"BxH ApoE-/-, F2",1,2002-5-5,NA,2002-7-24,2002-11-13,44.8,10.6,1.18,2,3.18,NA,7.098214286,110,1509,32,465,74,353,1477,189.62,6311,0.055934083,114185.38,8.349,125625,NA,0,0,0,NA,NA,NA,NA
F2_347,347,360-2,"BxH ApoE-/-, F2",1,2002-5-5,NA,2002-7-24,2002-11-13,47.7,10.7,1.6,2.54,4.14,NA,8.679245283,104,1438,47,522,127,509,1391,451.404,3345,0.152167414,136925.44,6.185,114000,NA,28,2,0,NA,NA,NA,NA
F2_348,348,360-3,"BxH ApoE-/-, F2",1,2002-5-5,NA,2002-7-24,2002-11-13,46.8,10.7,1.78,2.17,3.95,slightly enlarged spleen,8.44017094,184,982,71,371,97,496,911,147.586,3108,0.15958816,48514.3,8.217,23250,NA,8,5,0,NA,NA,NA,NA
F2_349,349,360-4,"BxH ApoE-/-, F2",1,2002-5-5,NA,2002-7-24,2002-11-13,49.7,10.4,1.52,3.1,4.62,NA,9.295774648,104,768,39,259,70,381,729,203.946,1969,0.193499238,100306.26,14.122,284500,NA,0,0,0,NA,NA,NA,NA
F2_350,350,362-1,"BxH ApoE-/-, F2",1,2002-5-31,228,2002-7-24,2002-11-13,44,10.5,1.48,2.35,3.83,NA,8.704545455,104,1443,48,435,85,277,1395,275.782,1405,0.197153025,86119.52,7.258,145000,NA,0,0,0,NA,NA,NA,NA
F2_351,351,362-2,"BxH ApoE-/-, F2",1,2002-5-31,228,2002-7-24,2002-11-13,42,10.6,1.3,NA,NA,NA,NA,38,925,39,319,73,319,886,215.706,2176,0.146599265,109984.98,NA,215000,NA,0,0,0,NA,NA,NA,NA
F2_352,352,362-3,"BxH ApoE-/-, F2",1,2002-5-31,228,2002-7-24,2002-11-13,49.4,10.3,1.18,2,3.18,NA,6.437246964,91,1048,39,389,88,395,1009,240.54,5758,0.068600208,86981.98,8.924,235000,NA,0,0,7,NA,NA,NA,NA
F2_353,353,362-4,"BxH ApoE-/-, F2",1,2002-5-31,228,2002-7-24,2002-11-13,50.8,10.9,1.08,2.53,3.61,NA,7.106299213,72,1542,37,505,90,444,1505,243.04,9621,0.046149049,119242.6,NA,157750,NA,24,5,0,NA,NA,NA,NA
F2_354,354,363-1,"BxH ApoE-/-, F2",1,2002-5-31,228,2002-7-24,2002-11-13,52.3,10.7,0.73,2.25,2.98,NA,5.69789675,56,1167,70,343,57,352,1097,164.952,16750,0.021014925,163143.12,10.264,241500,NA,6,0,2,NA,NA,NA,NA
F2_355,355,364-1,"BxH ApoE-/-, F2",2,2002-5-31,228,2002-7-24,2002-11-13,40.9,10.4,2.78,1.91,4.69,spleenomegaly,11.46699267,199,663,30,280,95,358,633,189.248,829,0.431845597,55794.9,12.134,109500,NA,22,0,0,NA,NA,0.0564,0.07865
F2_356,356,364-2,"BxH ApoE-/-, F2",2,2002-5-31,228,2002-7-24,2002-11-13,NA,NA,2.37,2.99,5.36,NA,NA,106,763,24,308,94,342,739,106.98,599,0.570951586,87964.28,20.894,117250,NA,20,11,0,NA,NA,NA,NA
F2_357,357,364-3,"BxH ApoE-/-, F2",2,2002-5-31,228,2002-7-24,2002-11-13,45.7,10.8,4.45,2.69,7.14,NA,15.62363239,44,1118,51,326,67,372,1067,130.184,1795,0.20724234,169716.36,NA,214750,NA,27,5,0,NA,NA,NA,NA
F2_358,358,364-4,"BxH ApoE-/-, F2",2,2002-5-31,228,2002-7-24,2002-11-13,47.9,10.6,5.32,2.77,8.09,NA,16.88935282,51,2484,30,867,136,529,2454,300.202,NA,NA,NA,NA,238000,NA,26,1,0,NA,NA,NA,NA
F2_359,359,364-5,"BxH ApoE-/-, F2",2,2002-5-31,228,2002-7-24,2002-11-13,43.4,10.6,3.23,2.34,5.57,NA,12.83410138,NA,NA,NA,NA,NA,NA,NA,205.428,1807,NA,111533.32,9.469,278000,NA,12,7,9,NA,NA,NA,NA
C3H_360,360,486-1,C3H ApoE-/-,2,2002-12-30,NA,2003-2-21,2003-6-16,35.6,10.5,1.97,1.46,3.43,NA,9.634831461,211,1632,33,532,121,343,1599,167.054,1113,0.308176101,33529.46,10.327,NA,NA,NA,NA,NA,NA,NA,0.0601,0.0858
C3H_361,361,486-2,C3H ApoE-/-,2,2002-12-30,NA,2003-2-21,2003-6-16,35,10.6,2.49,1,3.49,NA,9.971428571,209,1032,41,344,106,301,991,80.156,3009,0.100033234,35257.64,5.943,NA,NA,NA,NA,NA,NA,NA,0.0578,0.0822
